"","einwohner","city","postcode","qkm","distance_km"
"1",11957,"01067 Dresden","01067",6.866862,1.08275635747021
"2",25491,"01069 Dresden","01069",5.351816,3.68266268736611
"3",14821,"01097 Dresden","01097",3.304476,1.8766571314817
"4",28018,"01099 Dresden","01099",58.500065,8.27541591483951
"5",5876,"01108 Dresden","01108",16.447222,10.5138774390207
"6",20010,"01109 Dresden","01109",24.738921,6.30812977380874
"7",15079,"01127 Dresden","01127",3.21649,1.72963031848853
"8",18915,"01129 Dresden","01129",7.412412,3.08385455630671
"9",17555,"01139 Dresden","01139",8.437161,2.21404722489669
"10",11317,"01156 Dresden","01156",31.752508,6.58703573265209
"11",20684,"01157 Dresden","01157",8.063003,3.37116465574566
"12",27666,"01159 Dresden","01159",5.920703,3.1762368327862
"13",19091,"01169 Dresden","01169",4.85608,4.7713488588499
"14",16423,"01187 Dresden","01187",5.085094,4.90366506875411
"15",9741,"01189 Dresden","01189",5.311302,6.26509519872992
"16",17501,"01217 Dresden","01217",5.876985,6.28136644883833
"17",20916,"01219 Dresden","01219",6.948872,6.30577619962807
"18",15536,"01237 Dresden","01237",4.271727,8.2704998320767
"19",15134,"01239 Dresden","01239",5.735141,9.24767149559712
"20",16277,"01257 Dresden","01257",8.276587,8.30538107336068
"21",18995,"01259 Dresden","01259",10.37215,6.04272264586152
"22",31798,"01277 Dresden","01277",4.868206,6.88281779939532
"23",21201,"01279 Dresden","01279",4.891571,8.90830365351484
"24",23815,"01307 Dresden","01307",3.666063,4.25073525387851
"25",32890,"01309 Dresden","01309",4.727433,5.70744852497054
"26",8874,"01324 Dresden","01324",4.629564,9.27284469227752
"27",10802,"01326 Dresden","01326",15.591166,7.13544509490009
"28",12342,"01328 Dresden","01328",41.238378,6.93879346136611
"29",33224,"01445 Radebeul","01445",26.354677,7.09505295039632
"30",22281,"01454 Radeberg, Wachau","01454",68.134928,15.967916091239
"31",9817,"01458 Ottendorf-Okrilla","01458",25.967269,14.0363426096024
"32",4104,"01465 Dresden","01465",12.552318,12.2109151921267
"33",8215,"01468 Moritzburg","01468",46.554448,10.8291984277348
"34",7592,"01471 Radeburg","01471",54.182173,13.6437620791147
"35",4776,"01477 Arnsdorf b. Dresden","01477",35.908611,12.8556685448027
"36",14551,"01558 Großenhain","01558",44.099627,17.0719456802436
"37",20492,"01561 Großenhain, Ebersbach u.a.","01561",408.958156,19.0749359685769
"38",12390,"01587 Riesa","01587",7.476845,1.72681701944096
"39",10121,"01589 Riesa","01589",15.410295,2.18616085360089
"40",8795,"01591 Riesa","01591",16.636915,4.15111812360622
"41",6780,"01594 Riesa, Stauchitz, Hirschstein","01594",86.318869,4.30653367319094
"42",12490,"01609 Gröditz, Wülknitz, Röderaue","01609",85.671082,9.82770885416674
"43",8042,"01612 Nünchritz, Glaubitz","01612",45.535858,7.92710773481951
"44",3888,"01616 Strehla","01616",30.425686,8.44931888906649
"45",6215,"01619 Zeithain","01619",82.262393,7.9805177464627
"46",5408,"01623 Lommatzsch","01623",66.981809,10.3539208410334
"47",20751,"01640 Coswig","01640",25.951985,12.2805767633896
"48",27076,"01662 Meißen","01662",30.875476,19.5192281828604
"49",16574,"01665 Käbschütztal, Klipphausen, Diera-Zehren","01665",205.673808,20.1447745964091
"50",11035,"01683 Nossen","01683",123.028731,21.9244105328208
"51",13976,"01689 Weinböhla","01689",54.356689,16.5604180786677
"52",38322,"01705 Freital","01705",40.44642,9.75857563191674
"53",11815,"01723 Wilsdruff","01723",75.912715,15.4479066044719
"54",10419,"01728 Bannewitz","01728",25.767169,9.86246680232297
"55",4365,"01731 Kreischa","01731",28.931382,12.7665273839424
"56",4390,"01734 Rabenau","01734",30.766003,13.7001777682451
"57",7036,"01737 Tharandt u.a.","01737",77.310263,17.5649881090114
"58",1113,"01738 Dorfhain","01738",6.285408,18.8036112329365
"59",14642,"01744 Dippoldiswalde","01744",104.456828,23.3621614407855
"60",1147,"01762 Hartmannsdorf-Reichenau","01762",28.336291,30.6806786730215
